BID Name:,Full-time staff,Part-time staff,BID provides supplemental sanitation services,Type of sanitation services,Types of duties assigned to sanitation workers,Hours logged by sanitation workers,Incidents of graffiti removed,Trash bags collected,Trash and recycling receptacles serviced,BID provides supplemental public safety services,Type of public safety services,Duties assigned to public safety personnel,Hours logged by public safety officers,Interactions with public safety officers,BID provides supplemental streetscape and beautification services,Public spaces maintained,Tree pits maintained,Banners maintained,Public art installations sponsored,BID has holiday lighting program,Communication channels used,Marketing materials distributed,Public events coordinated,Estimated attendees to public events coordinated,Allocates staff salaries,Assessment revenue,Contract revenue,Contributions,Government grants,Program service revenue,Interest income,Miscellaneous income,Total support and revenue,Sanitation expenses,Public safety expenses,Other program expenses,Salaries,Outside contractor expenses,Insurance costs,Rent and utilities,Supplies and equipment costs,Capital improvement expenses,Total expenses
125th Street,3,7,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,12699.0,"15,085",73500.0,60.0,Yes,Contracted,Street patrol; Coordination with NYPD,9875.0,1438.0,Yes,0.0,27.0,64.0,0.0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media",31300,2,121280,No,1240462,$-,$-,$(342),$-,$113,$-,1272933,305846.0,212483.0,,303350.0,22813.0,27852.0,134002.0,,,1194837
161st Street,1,2,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,4488.0,915,42000.0,48.0,No,,,,,Yes,2.0,20.0,12.0,16.0,Yes,Direct mailings; Flyers; Email bulletins; Social media; LinkNYC advertising (more info),6500,16,61000,Yes,240000,$-,$-,"$83,000",$-,$-,$-,358000,119258.0,,,137000.0,6000.0,8071.0,8500.0,5000.0,,330087
165th Street Mall,1,0,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,3240.0,6,1120.0,29.0,Yes,Contracted,Street patrol,80.0,0.0,Yes,0.0,20.0,0.0,4.0,Yes,Print advertising (i.e. local newspaper); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,35100,38,15500,Yes,250000,$-,$-,"$18,000",$-,$-,"$2,400",270400,68630.0,,,61885.0,19312.0,44796.0,9060.0,5000.0,,263701
180th Street,1,0,No,,,,,,,Yes,Contracted,Street patrol; Coordination with NYPD,180.0,30.0,No,,,,,No,Direct mailings; Door-to-door visits; Flyers; Email bulletins,250,3,40,No,75000,$-,$-,$-,$-,$-,$-,75000,,18396.0,,16000.0,6800.0,3005.0,2400.0,2000.0,,70468
34th Street Partnership,62,13,Yes,In-house,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,135200.0,"3,677",255500.0,349.0,Yes,In-house,Street patrol; Coordination with NYPD,43909.0,2801.0,Yes,4.0,140.0,181.0,0.0,No,"Digital advertising (i.e. Google, Facebook, Instagram ads); Email bulletins; Social media",10025,333,6150,No,12320000,"$838,921","$242,967",$-,"$583,263","$41,903","$2,584",14029638,3975551.0,2668152.0,5301526.0,901393.0,66271.0,67009.0,102285.0,12220.0,1032141.0,16891001
82nd Street Partnership,1,1,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,4905.0,226,9191.0,24.0,No,,,,,Yes,1.0,55.0,19.0,6.0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",7700,17,4500,No,254450,$-,$-,"$37,500",$-,$-,$-,315069,107249.0,,,117309.0,5300.0,3216.0,22192.0,6611.0,,298820
86th Street Bay Ridge,0,3,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal,7904.0,-,57000.0,39.0,No,,,,,Yes,0.0,0.0,23.0,1.0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Social media",5300,2,400,Yes,290000,$-,$-,$-,$-,$719,$-,293859,134570.0,,,54549.0,4250.0,2156.0,14486.0,943.0,,284785
Atlantic Avenue,2,1,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,3840.0,168,18500.0,60.0,No,,,,,Yes,0.0,320.0,74.0,0.0,Yes,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",7820,3,2500,Yes,396600,$-,"$1,000","$98,653","$3,000",$-,$331,499584,104846.0,,,84756.0,7325.0,,22878.0,4949.0,,410620
Bay Ridge 5th Avenue,2,0,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,8800.0,"5,400",36000.0,84.0,Yes,Contracted,Street patrol; Traffic mitigation; Coordination with NYPD,2080.0,1040.0,Yes,0.0,0.0,132.0,4.0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",12425,8,64450,Yes,533750,$-,$-,$-,$-,$250,$-,567890,211589.0,49771.0,,113052.0,8450.0,3675.0,22532.0,4159.0,,552585
Bayside Village,1,12,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,2432.0,72,2230.0,40.0,No,,,,,Yes,1.0,84.0,28.0,0.0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Email bulletins; Social media",1250,5,6750,No,230000,$-,"$4,800","$41,600",$750,$-,"$30,082",312548,51587.0,,3400.0,82210.0,10950.0,6829.0,7800.0,3679.0,,248144
Bed-Stuy Gateway,2,12,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,11102.0,"3,842",25719.0,97.0,Yes,Both or Other,Monitoring security cameras; Crime prevention workshops; Street patrol; Coordination with NYPD,549.0,288.0,Yes,1.0,75.0,50.0,0.0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",19300,16,3000,Yes,675000,$-,$500,$-,$-,$-,$-,678600,290172.0,12650.0,14110.0,242189.0,30628.0,43587.0,26489.0,12072.0,,898857
Belmont,2,2,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal,3816.0,58,18200.0,70.0,Yes,Contracted,Monitoring security cameras; Street patrol; Traffic mitigation; Coordination with NYPD,5312.0,120.0,Yes,1.0,0.0,101.0,0.0,Yes,Print advertising (i.e. local newspaper); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,16900,13,35000,No,440000,"$6,699","$48,896","$80,000","$41,206","$1,097",$69,666351,64117.0,109725.0,,155755.0,77255.0,3880.0,29897.0,1308.0,,682522
Brighton Beach,1,2,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal,2550.0,12,8030.0,22.0,No,,,,,No,,,,,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Social media",1500,4,2500,No,220000,$-,$-,"$30,250",$-,$-,$-,250250,89250.0,,,58476.0,5992.0,4380.0,2200.0,760.0,,218842
Bryant Park Corporation,64,25,Yes,In-house,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,80025.0,107,89000.0,195.0,Yes,In-house,Street patrol; Coordination with NYPD,24040.0,4310.0,Yes,1.0,90.0,51.0,0.0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",190000,2800,299740,No,1600000,"$4,015,279","$5,135,455",$-,"$10,866,848","$1,222","$42,236",21661040,2255877.0,1218742.0,1405827.0,979811.0,112070.0,115410.0,105314.0,19021.0,120233.0,21337996
